"productId","displayName","tags"
"PROD20003651_LULU","Brushed Yoga Crewneck T-Shirt","Yoga, Men, What's New, T-Shirts, Short Sleeve Shirts"
"PROD20004267_LULU","Translucent 2-in-1 High-Rise Short 3""","Running, Training, Workout, Women, Bestsellers, What's New, Shorts"
"PROD20001919_LULU","Jersey Training Short-Sleeve Shirt *Graphic","Running, Training, Workout, Women, What's New, T-Shirts, Short Sleeve Shirts, Shirts"
"PROD20001459_LULU","BeCalm Relaxed-Fit Short-Sleeve Shirt","Yoga, Men, T-Shirts, Shirts, Short Sleeve Shirts, Gift Ideas, We Made Too Much"
"PROD20004855_LULU","Organic Cotton Classic-Fit T-Shirt *3 Pack","Casual, Men, What's New, Short Sleeve Shirts, T-Shirts"
"PROD11680086_LULU","Heavyweight Cotton Jersey Long-Sleeve Shirt","Casual, Men, Long Sleeve Shirts, Shirts, T-Shirts, We Made Too Much"
"PROD11900034_LULU","Fast and Free Lined Running Short 5""","Running, Men, Shorts, Bestsellers, What's New"
"PROD11870621_LULU","EasySet Training Sleeveless Shirt","Training, Workout, Men, Tank Tops, Shirts, We Made Too Much, What's New"
"PROD20001463_LULU","Steady State Pullover Hoodie *Graphic","Casual, Running, Men, Bestsellers, What's New, Hoodies & Sweatshirts"
"PROD20000527_LULU","Smooth Spacer Pintuck Pant *Regular","Casual, Men, What's New, Pants"
"PROD11871673_LULU","Steady State Classic-Fit Pant *Regular","Casual, Men, Pants, We Made Too Much, Sweatpants"
"PROD20000427_LULU","Men's Daydrift Relaxed-Fit Pleated Trouser *Regular","Casual, Men, Trousers, What's New"
"PROD11871130_LULU","Organic Cotton Baby Tee","Casual, Women, Shop Outfits, Shirts, We Made Too Much, Short Sleeve Shirts, T-Shirts"
"PROD11680042_LULU","ABC Slim-Fit Trouser 32L *WovenAir","Casual, Golf, Travel, Work, Men, Trousers, Gift Ideas, We Made Too Much, Pants"
"PROD11870234_LULU","New Venture Long-Sleeve Shirt *Updated Slim-Fit","Casual, Travel, Work, Men, Long Sleeve Shirts, We Made Too Much, Shirts, Button Down Shirts"
"PROD11520068_LULU","Textured Double-Knit Cotton Short 7""","Casual, Travel, Men, Gift Ideas, Loungewear, What's New, Bestsellers, Shorts, We Made Too Much"
"PROD20002331_LULU","ABC WovenAir Slim Pull-On Pant *Regular","Casual, Travel, Men, Trousers, What's New, Pants"
"PROD20005751_LULU","Unisex Power Stride No-Show Socks 3 Pack *Updated","Casual, Men, Women, Accessories, Socks, What's New, We Made Too Much"
"PROD11710062_LULU","High-Rise Pleated Tennis Skirt","Casual, Tennis, Women, Bestsellers, We Made Too Much, Skirts, What's New"
"PROD11870637_LULU","Five-Panel Hat","Casual, Men, Women, Gift Ideas, Hats, What's New, We Made Too Much"
"PROD11680100_LULU","Smooth Spacer Classic-Fit Pullover Hoodie","Casual, Travel, Men, What's New, We Made Too Much, Loungewear, Hoodies & Sweatshirts, Gift Ideas, Bestsellers"
"PROD20002355_LULU","Unisex Find Your Balance Grip Tab Socks *Updated","Yoga, Men, Women, Accessories, Socks"
"PROD11871677_LULU","Soft Jersey Classic-Fit Pant *Regular","Casual, Men, Sweatpants, We Made Too Much, What's New"
"PROD11530387_LULU","License to Train Long-Sleeve Shirt","Hiking, Training, Workout, Men, Long Sleeve Shirts, Bestsellers, We Made Too Much, Shirts"
"PROD20004535_LULU","lululemon Glow Up™ Super-High-Rise Short 6""","Training, Workout, Women, We Made Too Much, Shorts"
"PROD11900018_LULU","lululemon Glow Up™ Bra *Medium Support, B/C Cup","Training, Workout, Women, Matching Sets, Bras & Underwear, Sports Bras"
"PROD11800811_LULU","lululemon Glow Up™ Super-High-Rise Tight 28""","Training, Workout, Women, Leggings, Bestsellers, What's New, We Made Too Much"
"PROD11871253_LULU","All Yours Organic Cotton Tank Top","Casual, Women, We Made Too Much, What's New, Tank Tops"
"PROD9270824_LULU","Always In Motion Boxer 5"" *3 Pack","Casual, Men, We Made Too Much, Loungewear, Underwear, Bestsellers, What's New, Gift Ideas"
"PROD11680094_LULU","ABC Slim-Fit Trouser 30L *Stretch Cotton VersaTwill","Casual, Travel, Work, Men, Offers, Pants, Trousers, We Made Too Much"
"PROD11130342_LULU","Close-Fit Wool-Blend Ribbed Knit Beanie","Casual, Men, Women, Hats, We Made Too Much"
"PROD20003315_LULU","Unisex Daily Essential No-Show Socks *3 Pack","Casual, Men, Women, Socks, What's New, We Made Too Much, Accessories"
"PROD11750031_LULU","Soft Jersey Jogger *Regular","Casual, Travel, Men, We Made Too Much, Bestsellers, Loungewear, Joggers, What's New, Pants, Sweatpants"
"PROD11690178_LULU","lululemon Energy Zip-Front Bra *High-Support, B–G Cups","Hiking, Running, Training, Workout, Women, Sports Bras, What's New, We Made Too Much"
"PROD11680720_LULU","Wundermost Ultra-Soft Nulu Dipped-Waist Thong Underwear *3 Pack","Casual, Women, Underwear, What's New, We Made Too Much"
"PROD11400093_LULU","Fast and Free High-Rise Tight 28"" *5 Pocket","Running, Training, Workout, Women, We Made Too Much, What's New, Pants, Leggings"
"PROD10950091_LULU","Always In Motion Brief with Fly","Casual, Men, Offers, Underwear, We Made Too Much"
"PROD11870138_LULU","Logo Sport Polo Short Sleeve *Updated Fit","Golf, Tennis, Men, Polo Shirts, We Made Too Much, Gift Ideas, Short Sleeve Shirts, Bestsellers, Shirts"
"PROD11740077_LULU","Smooth Spacer Short 7""","Casual, Travel, Men, What's New, Shorts, Offers, Loungewear, We Made Too Much"
"PROD11860059_LULU","Organic Cotton Classic-Fit Long-Sleeve Shirt","Casual, Travel, Work, Men, We Made Too Much, T-Shirts, Long Sleeve Shirts, What's New, Shirts"
"PROD11680048_LULU","ABC Classic-Fit Trouser 30L *Stretch Cotton VersaTwill","Casual, Travel, Work, Men, We Made Too Much, Pants, Offers, What's New, Trousers"
"PROD11560102_LULU","Evolution Long-Sleeve Polo Shirt","Casual, Work, Men, Long Sleeve Shirts, Shirts, Polo Shirts, We Made Too Much"
"PROD11710414_LULU","Zeroed In Linerless Short 9""","Training, Workout, Men, We Made Too Much, Shorts, What's New"
"PROD9750638_LULU","Always In Motion Mesh Boxer 5"" *3 Pack","Casual, Men, Underwear, What's New, We Made Too Much"
"PROD11740065_LULU","Steady State Classic-Fit Jogger *Regular","Casual, Travel, Men, Loungewear, Joggers, Sweatpants, We Made Too Much, Offers, Bestsellers, Shop Outfits, Pants, What's New"
"PROD11890035_LULU","Softstreme Crewneck Oversized Pullover","Casual, Women, Hoodies & Sweatshirts, We Made Too Much"
"PROD11450254_LULU","Fast and Free High-Rise Short 6"" *5 Pocket","Running, Training, Workout, Women, We Made Too Much, Shorts"
"PROD11520482_LULU","Sojourn Windbreaker Jacket","Casual, Travel, Men, What's New, Coats & Jackets, We Made Too Much"
"PROD11750188_LULU","Metal Vent Tech Half Zip","Golf, Running, Training, Travel, Workout, Men, Bestsellers, Shirts, We Made Too Much, Hoodies & Sweatshirts, Long Sleeve Shirts, Early Access"
"PROD9750519_LULU","Swiftly Tech Short-Sleeve Shirt 2.0 *Hip Length","Golf, Hiking, Running, Tennis, Training, Workout, Women, Matching Sets, We Made Too Much, Bestsellers, What's New, Shirts, T-Shirts, Short Sleeve Shirts, Shop Outfits"
"PROD20002071_LULU","BeCalm Relaxed-Fit Sleeveless Shirt","Yoga, Men, Shirts, We Made Too Much, Gift Ideas, Tank Tops"
"PROD11680617_LULU","Organic Cotton Classic-Fit T-Shirt","Casual, Travel, Work, Men, We Made Too Much, Gift Ideas, Shop Outfits, Offers, What's New, T-Shirts, Short Sleeve Shirts, Shirts"
"PROD11680066_LULU","ABC Classic-Fit Trouser 32L *Stretch Cotton VersaTwill","Casual, Travel, Work, Men, Trousers, Pants, Bestsellers, Gift Ideas, What's New, Offers, We Made Too Much"
"PROD11870150_LULU","EasySet Training Short-Sleeve Shirt","Training, Workout, Men, We Made Too Much, Shirts, Gift Ideas, Bestsellers, T-Shirts, Shop Outfits, Short Sleeve Shirts"
"PROD20000367_LULU","Unisex Find Your Balance Grip Crew Socks","Yoga, Men, Women, Socks, Accessories"
"PROD11520158_LULU","Steady State Half Zip","Casual, Travel, Men, Hoodies & Sweatshirts, Bestsellers, We Made Too Much, What's New, Loungewear"
"PROD11021003_LULU","Women's Restfeel Slide","Casual, Swim, Travel, Yoga, Women, Bestsellers, What's New, Shoes, Loungewear, We Made Too Much, Shop Outfits"
"PROD11870568_LULU","ABC WovenAir Pull-On Short 7""","Casual, Golf, Travel, Men, Gift Ideas, Shop Outfits, What's New, Bestsellers, We Made Too Much, Shorts"
"PROD8890017_LULU","Never Lost Keychain","Casual, Men, Women, Bestsellers, We Made Too Much, Bags, Shop Outfits, What's New"
"PROD11680202_LULU","Zeroed In Tank","Tennis, Training, Travel, Workout, Yoga, Running, Men, Shirts, What's New, Bestsellers, Tank Tops, We Made Too Much"
"PROD11680298_LULU","Everywhere Belt Bag Mini","Casual, Travel, Men, Women, Bags, What's New, We Made Too Much"
"PROD11870580_LULU","License to Train Linerless Short 5"" *Updated","Hiking, Training, Workout, Men, Shorts, What's New, We Made Too Much"
"PROD9750511_LULU","Wunder Train High-Rise Short 6""","Hiking, Running, Training, Workout, Women, Matching Sets, We Made Too Much, Bestsellers, Shorts, What's New"
"PROD11700296_LULU","lululemon Align™ High-Rise Skirt","Casual, Tennis, Women, Bestsellers, Skirts, Shop Outfits, We Made Too Much, What's New"
"PROD11430005_LULU","Pace Breaker Linerless Short 9""","Running, Tennis, Training, Workout, Men, Shorts, What's New, We Made Too Much"
"PROD9491187_LULU","Always In Motion Long Boxer 7"" *5 Pack","Casual, Men, What's New, We Made Too Much, Underwear"
"PROD11680038_LULU","Varsity High-Rise Pleated Tennis Skirt","Casual, Tennis, Women, We Made Too Much, Skirts, What's New, Bestsellers"
"PROD11680050_LULU","Heavyweight Cotton Jersey T-Shirt","Casual, Travel, Work, Men, We Made Too Much, Shirts, T-Shirts, Short Sleeve Shirts, Gift Ideas, What's New, Shop Outfits, Bestsellers"
"PROD10030206_LULU","License to Train Short-Sleeve Shirt","Hiking, Training, Workout, Men, Shirts, We Made Too Much, Bestsellers, T-Shirts, Short Sleeve Shirts, What's New, Gift Ideas, Shop Outfits"
"PROD11750232_LULU","Zeroed In Long-Sleeve Shirt","Training, Travel, Workout, Men, T-Shirts, Shirts, We Made Too Much, Long Sleeve Shirts"
"PROD11690172_LULU","Pace Breaker Pant *Regular","Running, Training, Workout, Men, We Made Too Much, Bestsellers, Incentives, Pants, Gift Ideas, What's New, Joggers"
"PROD9200594_LULU","lululemon Align™ High-Rise Short 4""","Dance, Yoga, Women, Bestsellers, Loungewear, What's New, We Made Too Much, Matching Sets, Shorts"
"PROD11750072_LULU","Pace Breaker Jogger *Regular","Running, Training, Workout, Men, Pants, We Made Too Much, Shop Outfits, What's New, Bestsellers, Joggers"
"PROD11680036_LULU","Zeroed In Linerless Short 5""","Casual, Running, Training, Travel, Workout, Yoga, Men, Bestsellers, Shop Outfits, What's New, We Made Too Much, Shorts"
"PROD10641672_LULU","Hold Tight Long-Sleeve Shirt","Casual, Travel, Work, Women, Long Sleeve Shirts, Bestsellers, T-Shirts, We Made Too Much, What's New, Loungewear, Shirts, Shop Outfits"
"PROD11870112_LULU","Unisex Daily Essential Quarter Socks *3 Pack","Casual, Golf, Running, Tennis, Training, Workout, Men, Women, We Made Too Much, Accessories, Socks, What's New"
"PROD9750460_LULU","Swiftly Tech Racerback Tank Top 2.0 *Waist Length","Hiking, Running, Tennis, Training, Workout, Women, We Made Too Much, Bestsellers, Matching Sets, Tank Tops, Shop Outfits, What's New"
"PROD11400112_LULU","Pace Breaker Linerless Short 7""","Casual, Running, Tennis, Training, Travel, Workout, Yoga, Men, Bestsellers, What's New, We Made Too Much, Shorts, Early Access, Gift Ideas"
"PROD11570109_LULU","Soft Jersey Long-Sleeve Shirt","Casual, Travel, Men, We Made Too Much, T-Shirts, Loungewear, Long Sleeve Shirts, What's New, Shirts"
"PROD11680098_LULU","Zeroed In Short-Sleeve Shirt","Casual, Training, Travel, Workout, Yoga, Men, What's New, Shirts, We Made Too Much, Short Sleeve Shirts, T-Shirts, Bestsellers, Gift Ideas, Shop Outfits"
"PROD11520178_LULU","Soft Jersey Short 5""","Casual, Travel, Men, Bestsellers, What's New, Loungewear, We Made Too Much, Gift Ideas, Shorts, Offers, Shop Outfits"
"PROD11680538_LULU","Softstreme Full-Zip Hoodie","Casual, Women, Hoodies & Sweatshirts, Loungewear, We Made Too Much, Matching Sets"
"PROD11750248_LULU","Zeroed In Track Jacket","Casual, Tennis, Training, Travel, Workout, Men, We Made Too Much, Coats & Jackets, What's New"
"PROD9360058_LULU","lululemon Energy Bra *Medium Support, B–D Cups","Golf, Hiking, Running, Tennis, Training, Workout, Women, We Made Too Much, Sports Bras, Matching Sets, What's New, Bestsellers"
"PROD11710149_LULU","Metal Vent Tech Long-Sleeve Shirt","Running, Training, Travel, Workout, Men, Shirts, Bestsellers, Long Sleeve Shirts, T-Shirts, Early Access, Shop Outfits, What's New, We Made Too Much"
"PROD20002367_LULU","City Essentials Duffle Bag 28L","Casual, Training, Travel, Workout, Women, Accessories, Bags, We Made Too Much, What's New"
"PROD11680076_LULU","ABC Slim-Fit Trouser 32L *Stretch Cotton VersaTwill","Casual, Travel, Work, Men, Trousers, Bestsellers, Pants, We Made Too Much, Offers"
"PROD11130181_LULU","Silicone Keychain","Casual, Men, Women, We Made Too Much, Bestsellers, Bags, Gift Ideas, Accessories, What's New, Shop Outfits"
"PROD11740101_LULU","Zeroed In Slim-Fit Pant *Regular","Casual, Running, Tennis, Training, Travel, Workout, Men, What's New, Joggers, Pants, Bestsellers, Gift Ideas, We Made Too Much, Shop Outfits"
"PROD11530198_LULU","Dance Studio Mid-Rise Pant *Regular","Casual, Dance, Travel, Women, Loungewear, Pants, We Made Too Much, What's New, Bestsellers"
"PROD9750593_LULU","Another Mile Vest","Running, Women, We Made Too Much, Coats & Jackets"
"PROD11710026_LULU","Metal Vent Tech Short-Sleeve Shirt","Running, Tennis, Training, Travel, Workout, Yoga, Men, Short Sleeve Shirts, T-Shirts, Shirts, We Made Too Much, What's New, Bestsellers, Gift Ideas, Shop Outfits"
"PROD11400110_LULU","Pace Breaker Lined Short 7""","Running, Training, Workout, Yoga, Men, We Made Too Much, Early Access, Shorts, Bestsellers, Gift Ideas, What's New, Shop Outfits"
"PROD11720261_LULU","Fast and Free Running Hat *WovenAir","Running, Men, Women, Gift Ideas, We Made Too Much, Hats, Early Access, What's New, Bestsellers"
"PROD11670131_LULU","Pace Breaker Jacket","Golf, Running, Tennis, Training, Travel, Workout, Men, Coats & Jackets, Bestsellers, Gift Ideas, We Made Too Much, What's New"
"PROD11520161_LULU","Soft Jersey Short-Sleeve Shirt","Casual, Travel, Men, T-Shirts, We Made Too Much, Short Sleeve Shirts, Shirts, Bestsellers, Loungewear, What's New, Gift Ideas, Offers, Shop Outfits"
"PROD11380247_LULU","Fast and Free High-Rise Tight 25"" *5 Pocket","Running, Training, Workout, Women, We Made Too Much, Leggings, What's New, Bestsellers, Pants"
"PROD11800851_LULU","lululemon Glow Up™ Super-High-Rise Tight 25""","Training, Workout, Women, Matching Sets, Leggings, We Made Too Much, What's New, Bestsellers"
"PROD20002179_LULU","Everyday Backpack 21L","Casual, Men, Women, Bestsellers, Shop Outfits, We Made Too Much, Bags"
"PROD10520468_LULU","UnderEase Mid-Rise Thong Underwear *5 Pack","Casual, Yoga, Women, We Made Too Much, Underwear"
"PROD11870601_LULU","City Essentials Mini Shoulder Bag 1L","Casual, Women, Bags, We Made Too Much, Bestsellers, What's New"
"PROD11570307_LULU","Daily Multi-Pocket Tote Bag 20L","Casual, Travel, Work, Men, Women, Bestsellers, Bags, Shop Outfits, What's New, We Made Too Much"
"PROD11460397_LULU","Women's Luxtreme Training Headband","Casual, Running, Tennis, Training, Workout, Yoga, Women, men, Hair Accessories, What's New, Bestsellers, We Made Too Much"
"PROD9600638_LULU","License to Train Jogger *Regular","Casual, Hiking, Training, Workout, Men, Bestsellers, We Made Too Much, What's New, Pants, Joggers"
"PROD10930178_LULU","Wunderlust Backpack 25L","Casual, Travel, Work, Men, Women, What's New, Bags, We Made Too Much"
"PROD9820526_LULU","Skinny Scrunchies *6 Pack","Casual, Women, Accessories, Hair Accessories, We Made Too Much"
"PROD11130156_LULU","Everywhere Belt Bag Large 2L","Casual, Men, Women, Bags, Accessories, What's New, We Made Too Much, Bestsellers"
"PROD10990033_LULU","The Mat 5mm *Made With FSC™ Certified Rubber","Yoga, Men, Women, What's New, Equipment, Yoga Mats, Bestsellers, We Made Too Much"
